ts,open,high,low,close,volume_quote
2026-01-01 00:00:00+00:00,600.000000,600.855171,598.793607,599.648778,74753.050000
2026-01-01 01:00:00+00:00,599.648778,607.143724,584.222373,591.717319,89710.100000
2026-01-01 02:00:00+00:00,591.717319,592.635154,590.573970,591.491805,92552.950000
2026-01-01 03:00:00+00:00,591.491805,594.218224,585.249716,587.976134,95340.200000
2026-01-01 04:00:00+00:00,587.976134,601.673791,581.211149,594.908806,113759.650000
2026-01-01 05:00:00+00:00,594.908806,598.479018,593.682996,597.253208,121252.340000
2026-01-01 06:00:00+00:00,597.253208,597.715107,580.899182,581.361080,122645.360000
2026-01-01 07:00:00+00:00,581.361080,589.136666,579.963952,587.739538,119008.680000
2026-01-01 08:00:00+00:00,587.739538,608.177806,575.467673,595.905942,120034.810000
2026-01-01 09:00:00+00:00,595.905942,606.126679,593.170305,603.391042,88239.040000
2026-01-01 10:00:00+00:00,603.391042,608.137250,602.274356,607.020563,73229.720000
2026-01-01 11:00:00+00:00,607.020563,612.361879,601.451817,606.793133,72055.550000
2026-01-01 12:00:00+00:00,606.793133,610.014615,599.191389,602.412872,44746.580000
2026-01-01 13:00:00+00:00,602.412872,602.422040,602.352119,602.361287,56826.390000
2026-01-01 14:00:00+00:00,602.361287,603.259871,599.049408,599.947992,69724.630000
2026-01-01 15:00:00+00:00,599.947992,601.270952,598.190546,599.513505,54142.750000
2026-01-01 16:00:00+00:00,599.513505,599.793736,598.691467,598.971698,72480.830000
2026-01-01 17:00:00+00:00,598.971698,601.685888,598.318361,601.032551,62562.010000
2026-01-01 18:00:00+00:00,601.032551,603.457199,599.051953,601.476601,69399.130000
2026-01-01 19:00:00+00:00,601.476601,603.513559,597.877622,599.914580,63633.560000
2026-01-01 20:00:00+00:00,599.914580,602.075660,596.846210,599.007289,76872.220000
2026-01-01 21:00:00+00:00,599.007289,599.168372,598.179770,598.340853,49358.640000
2026-01-01 22:00:00+00:00,598.340853,601.111579,597.854744,600.625470,75139.280000
2026-01-01 23:00:00+00:00,600.625470,600.893315,597.853039,598.120884,71396.120000
2026-01-02 00:00:00+00:00,598.120884,599.322649,596.451549,597.653313,60566.370000
2026-01-02 01:00:00+00:00,597.653313,601.565620,597.265293,601.177601,68125.830000
2026-01-02 02:00:00+00:00,601.177601,605.040558,594.643563,598.506520,76129.020000
2026-01-02 03:00:00+00:00,598.506520,605.051116,594.252249,600.796845,54530.280000
2026-01-02 04:00:00+00:00,600.796845,602.653722,596.620763,598.477640,68096.630000
2026-01-02 05:00:00+00:00,598.477640,599.160182,597.175053,597.857594,59481.920000
2026-01-02 06:00:00+00:00,597.857594,599.408697,594.409880,595.960983,53272.240000
2026-01-02 07:00:00+00:00,595.960983,596.907564,594.426651,595.373232,44830.770000
2026-01-02 08:00:00+00:00,595.373232,595.831281,592.454229,592.912278,60004.610000
2026-01-02 09:00:00+00:00,592.912278,595.777786,584.966093,587.831601,45129.610000
2026-01-02 10:00:00+00:00,587.831601,588.317682,586.371000,586.857080,46536.390000
2026-01-02 11:00:00+00:00,586.857080,588.300876,583.326871,584.770667,73776.330000
2026-01-02 12:00:00+00:00,584.770667,585.282731,582.210730,582.722794,77751.330000
2026-01-02 13:00:00+00:00,582.722794,587.988198,581.640207,586.905611,51177.420000
2026-01-02 14:00:00+00:00,586.905611,588.858565,583.883158,585.836112,55036.610000
2026-01-02 15:00:00+00:00,585.836112,589.621308,584.398157,588.183354,56583.230000
2026-01-02 16:00:00+00:00,588.183354,589.622817,583.451327,584.890790,71344.980000
